Model,CV Acc (mean),CV Acc (std),Accuracy,Precision,Recall,F1-Score,AUC,Time (s)
kNN,0.9969,0.0026,1.0,1.0,1.0,1.0,1.0,0.023
Naive Bayes,0.8396,0.0101,0.8641,0.8547,0.8361,0.8453,0.9483,0.013
SVM,0.999,0.0021,1.0,1.0,1.0,1.0,1.0,0.11
Decision Tree,0.9844,0.0114,0.9879,0.9785,0.9945,0.9864,0.9885,0.017
Random Forest,0.9896,0.0099,0.9951,0.9892,1.0,0.9946,0.9999,0.871
AdaBoost,0.9938,0.0039,0.9976,0.9946,1.0,0.9973,1.0,0.513
Gradient Boosting,0.9896,0.0109,0.9927,0.9839,1.0,0.9919,0.9998,0.851
LDA,0.976,0.0053,0.9684,0.9337,1.0,0.9657,0.9998,0.018
MLP,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.257
Logistic Regression,0.9833,0.0083,0.9782,0.9531,1.0,0.976,0.9999,0.024
